individual_id,ibs_remain,auprc
417,0.0037506796306416156,0.767878781613614
418,3.32991972585281e-06,0.9960613596005796
419,0.0062999695082839036,0.9142163449070384
420,0.0031659067592989037,0.7437332300065993
421,0.005519210345604568,0.76942929919475
422,0.0030010905675908555,0.683403855387579
423,0.002383599005867851,0.6606889892998729
424,0.0005638735537864259,0.7759562557280354
425,0.012232208157727442,0.7925808095909715
426,0.06930308274173078,0.6108162289225433
427,0.0006035049479760634,0.7732085053859096
428,0.0059679119294363545,0.7063228885264958
429,0.00441976748120374,0.7676724904493089
430,8.850091191584729e-05,0.9713490425360131
431,0.0114060300713415,0.8933768049474252
432,0.002457233379339191,0.5370349695626258
433,0.0024309607780323753,0.7193402856059519
434,0.0034504711936667815,0.14223662795843323
435,0.0009043295404945088,0.8624090800359357
436,0.005743505153244508,0.8056435314225502
437,0.006248239856516812,0.7760325449573156
438,0.019649297520099515,0.7238872756341574
439,7.021188429592275e-05,0.7651362793484562
440,0.002110489751133459,0.7594419837609856
441,0.00041227927320736926,0.9383213031856027
442,0.00014494480639857794,0.9781946985517599
443,0.05986712046670353,0.7598830958314302
444,0.0008857778447544057,0.7913221670585733
445,0.0004366821059518578,0.9524125498551442
446,0.006193537625360359,0.8757764356577519
447,0.0043771267232831715,0.7655297897556392
448,8.324018622365129e-08,0.9995496381714134
449,0.013517469128333444,0.9062778679766672
450,0.01583211387501546,0.7478948201341565
451,0.00019503537451795723,0.9628916059944016
452,0.01763942596511272,0.7520108659487357
453,0.006098150823204826,0.8788851513222871
454,0.008588395568910716,0.7725807302055429
455,0.03588997169876389,0.667513451621358
456,0.005756309590552345,0.7735169422209506
457,0.0006298929703364423,0.7820655590478097
458,0.005045250778632827,0.7130731324308068
459,0.0036257564416775885,0.8167028090722895
460,0.030794304643580756,0.7382510260027201
461,2.308892116293653e-05,0.9868768685275843
462,0.07731311205522097,0.7829347338633289
463,0.0,0.7818025375921321
464,0.15434571722818272,0.5344970268098352
465,0.0013266876523216667,0.7821156489846974
466,0.00805878393910373,0.6986952054028249
467,0.0006433985008107854,0.8515558060674568
468,0.013850534682084399,0.657611601206507
469,0.007295794002533123,0.7652824265624305
470,1.4885495646368047e-05,0.992771260121027
471,0.013502733099496012,0.8599206527311778
472,0.000410870668015854,0.917215345348751
473,0.005400122855029491,0.8706262140030908
474,0.002276414131925703,0.6525141960077326
475,0.008461361561999586,0.7781413507416396
476,0.0,0.749517414666983
477,5.31627424209853e-05,0.9777029928936766
478,0.00012952913107070008,0.9866718399947426
479,0.011764099307785275,0.9160865846975081
480,0.0013517202427704086,0.8088567318804467
481,0.003545587588893291,0.8260297307018865
482,0.0001423703066836815,0.979238085503968
483,0.0012131528512265028,0.9595127574723862
484,0.027592529699753357,0.86027507202561
485,0.10359352807009234,0.5831682070477829
486,0.0026373553031023866,0.7037784318404683
487,6.883291067461643e-05,0.762207027346404
488,0.012639584141330845,0.763904793588444
489,9.704639106386946e-05,0.7464467055580217
490,0.0009058917685738695,0.8848998707175594
491,0.010356350122813811,0.7543728685295475
492,0.0,0.7900361473159507
493,0.0008427987067868137,0.7958834069688857
494,0.06395481913611109,0.6209337518850286
495,0.0006793291094425115,0.8893226015512723
496,0.012477094511033673,0.7501461067241433
497,0.0029603178770193227,0.7357592534123076
498,0.019192171477697226,0.7296513956197971
499,0.009146258199840187,0.7646530903355414
500,0.00013859253917297264,0.9660308806565914
501,0.0038843162829810566,0.9198722608254032
502,0.004805587176230164,0.916288863511531
503,0.04290034065223461,0.6617364553738962
504,0.005145762169090608,0.7723531329021365
505,0.0004120340896581568,0.8534997101602825
506,0.009399914394200522,0.6806464355233978
507,0.004503456420938938,0.8097717008818169
508,0.000380147793800106,0.9002366484173129
509,0.013706997205702922,0.6716336376885421
510,0.0,0.7993189524885503
511,8.171425125236586e-05,0.963926832907669
512,0.007673207975650571,0.8254792349641357
513,0.0034267830504510076,0.8952850931266346
514,0.01655478763214016,0.8235437397574831
515,0.0,0.7619096840598333
516,0.00027403308724500877,0.9152341711151382
517,0.0028701749068666483,0.8543926053693645
518,0.0032112990120251516,0.8784370460558206
519,0.00030498724055040674,0.9625791165550216
520,0.11975084332633373,0.6045262422333473
521,0.002342757232652425,0.6925829562870817
522,0.0005557742018965823,0.9196661141477791
523,0.006365885323709524,0.834568758773607
524,0.038623050806601514,0.792806438032915
525,7.909647994472433e-05,0.9752065639971383
526,0.020332532807587032,0.7665933007007478
527,0.0026230062543198237,0.5239106037503525
528,0.00042585336052264653,0.8905630550645037
529,0.000319277509307205,0.9729527482859249
530,0.0071773044205545485,0.8873204145395414
531,6.794139241950837e-05,0.9733659161976667
532,0.014732199125319765,0.7933888901203163
533,0.08581510551149588,0.7207656435881272
534,0.06560784242416838,0.6214676326629783
535,0.0034005090725049746,0.18241871770894863
536,0.000604904492462438,0.898759956231743
537,0.06121700930680657,0.7230740114368732
